Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,WA372FC,163.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,6AR - Bunbury/NBridge Tunnel,,,,
2,WA373FC,163.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,6AR - GinGin,,,,
3,WA379FC,165.012500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,6AR - Claremont,,,,
4,WA329FC,164.775000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,6AR - Clackline,,,,
5,WA205FC,163.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,6AR - Greenmount,,,,
6,WA377FC,164.612500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,6AR - Wanneroo,,,,
7,WA371FC,163.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,6AR - Canning Mills,,,,
8,WA220FC,164.337500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,6AR - Jarrahdale,,,,
9,WA217FC,164.312500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,6AR - Pinjarra,,,,
10,WA105FC,163.087500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,6AR - Bindoon,,,,
11,WA263FC,162.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,6AR - Two Rocks,,,,
12,WA246FC,164.162500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,6AR - Lancelin,,,,
13,WA207FC,164.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,6AR - Hackets Gully,,,,
14,WA380FC,165.187500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,6AR - Red Hill,,,,
15,WA354CC,161.287500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,WAERN Simplex Channel,,,,
16,WA355CC,161.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,WAERN Simplex Channel,,,,
17,WA356CC,161.387500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,WAERN Simplex Channel,,,,
18,WA357CC,161.362500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,WAERN Simplex Channel,,,,
19,WA358CC,161.087500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,WAERN Simplex Channel,,,,
20,WA359CC,161.075000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,WAERN Simplex Channel,,,,
21,WA360CC,161.462500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,WAERN Simplex Channel,,,,
22,WA361CC,161.100000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,WAERN Simplex Channel,,,,
23,WA362CC,161.137500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,WAERN Simplex Channel,,,,
24,WA363CC,161.175000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,WAERN Simplex Channel,,,,
25,WA364CC,161.162500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,WAERN Simplex Channel,,,,
26,WA365CC,161.187500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,WAERN Simplex Channel,,,,
